ccuracy,model,call,features,train data,test data,time,,
0.8835847559,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_postmodification_pp_of,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 18:52:19,,
0.884279476,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 19:02:48,,
0.8835847559,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 19:10:23,,
0.8805081382,LogisticRegression,"LogisticRegression(solver='lbfgs' ,multi_class='multinomial')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 19:12:42,,
0.8644303295,LogisticRegression,"LogisticRegression(solver='lbfgs' ,multi_class='multinomial')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 19:15:59,,
0.8816990869,LogisticRegression,"LogisticRegression(solver='lbfgs' ,multi_class='multinomial')",a_head_form a_head_number a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 19:18:27,,
0.8814013497,LogisticRegression,"LogisticRegression(solver='lbfgs' ,multi_class='multinomial')",a_head_form a_head_number a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_postmodification_type,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 19:21:24,,
0.8811036125,LogisticRegression,"LogisticRegression(solver='lbfgs' ,multi_class='multinomial')",a_head_form a_head_number a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_postmodification_type_specific,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 19:22:54,,
0.8807066296,LogisticRegression,"LogisticRegression(solver='lbfgs' ,multi_class='multinomial')",a_head_form a_head_number a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-21 19:25:27,,
0.884279476,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-25 17:19:21,,
0.884279476,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_non_article_det_extended b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-25 17:28:51,,
0.884279476,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_non_article_det_extended b_postmodification_length b_postmodification_type b_postmodification_type_specific,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-25 17:38:49,,
0.8828900357,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_non_article_det_extended b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_relative_position,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-28 18:46:17,,
0.8604605002,LogisticRegression,"LogisticRegression(solver='lbfgs' ,multi_class='multinomial')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_non_article_det_extended b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_relative_position,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-28 18:50:26,,
0.884279476,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_non_article_det_extended b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_relative_position,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-29 18:54:01,,
0.8845772132,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_referent,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-30 21:32:31,,
0.8845772132,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_referent,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-30 22:22:54,,
0.8835847559,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-04-30 22:45:12,,
0.8847757046,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_referent,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-05-01 13:02:34,if h.get_label() in ['PRP''CD' '.''QP''DT''$'',"'""''""'``''NNP''NNPS']:"
0.8847757046,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_referent,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-05-02 22:25:50,,
0.885371179,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-05-14 22:46:48,,
0.8854704248,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-05-17 22:09:21,,
0.885371179,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent b_subject_predicate2,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-05-21 17:57:58,,
0.8846764589,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_parent b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-05-21 22:43:11,,
,,,,,,,,
0.8835847559,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_referent a_words_after_head a_words_after_np a_words_before_head a_words_before_np,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-05-28 10:58:51,,
0.8864628821,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_object_form b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-05-28 11:07:22,,
0.89023421992854312,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_object_form b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent d_head_form_embeddings,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-06-20 18:44:41
0.89172290591504566,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent d_head_form_embeddings d_object_form_embeddings,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-06-21 14:05:19
0.89241762604208019,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent d_head_form_embeddings d_object_form_embeddings d_words_before_head_embeddings,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-06-21 20:41:01
0.89082969432314407,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear')",a_head_form a_head_number a_head_pos a_hypernyms a_non_article_det a_parent a_pos_after_head a_pos_before_head a_words_after_head a_words_after_np a_words_before_head a_words_before_np b_head_pos_simple b_head_proper b_is_postmodified b_postmodification_length b_postmodification_pp_of b_postmodification_type b_postmodification_type_specific b_predicate_form b_referent d_head_form_embeddings d_object_form_embeddings d_words_before_head_embeddings,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-06-22 21:40:16
