accuracy,model,call,features,train data,test data,time
0.8242865302,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.01)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/bnc-train260000.pkl,data/features/bnc-test271385.pkl,2016-07-12 00:30:54
0.8242865302,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.01)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/bnc-train260000.pkl,data/features/bnc-test271385.pkl,2016-07-12 07:49:49
0.8346518783,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.05)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/bnc-train260000.pkl,data/features/bnc-test271385.pkl,2016-07-12 07:55:28
0.8349577169,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.1)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/bnc-train260000.pkl,data/features/bnc-test271385.pkl,2016-07-12 08:01:19
0.8307791514,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.5)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/bnc-train260000.pkl,data/features/bnc-test271385.pkl,2016-07-12 08:07:12
0.8278128858,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/bnc-train260000.pkl,data/features/bnc-test271385.pkl,2016-07-12 08:13:01
,,,,,,
0.8352230226,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.1)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 35 4 44 6 7 9,data/features/bnc-train260000.pkl,data/features/bnc-test271385.pkl,2016-07-12 12:20:27
0.8356541445,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.1)",,500000,,
"0.83637636568, (train: 0.851567)",,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=0.1)",,1000000,,
