|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
24|ZERO|"data/parsed/22/wsj_2200.mrg|4|42"|`` Such agency ` self-help ' borrowing is unauthorized and expensive , far more expensive than [ direct Treasury borrowing , '' ] said Rep. Fortney Stark -LRB- D. , Calif. -RRB- , the bill 's chief sponsor .|Treasury|sg|NNP|[u'funds.n.01']||PP|"['VBG', ',', ""''""]"|['JJ']|True|"[u'borrow', ',', ""''""]"|[u'say', 'Rep.']|['direct']|['expensive', 'than']|NN|True|False|False|0|False|||is||0.484848484848|THE|ZERO
109|ZERO|"data/parsed/22/wsj_2200.mrg|18|35"|`` That secrecy leads to a proposal like the one from [ Ways and Means , ] which seems to me sort of draconian , '' he said .|Means|sg|NNP|[u'implementation.n.02']||NP|[',']|['NNPS', 'CC']|False|[',']|['which', u'seem']|['Ways', 'and']|['one', 'from']|NN|True|True|False|9|False|SBAR|which|leads||0.458333333333|THE|ZERO
114|ZERO|"data/parsed/22/wsj_2200.mrg|19|40"|`` The RTC is going to have to pay a price of [ prior consultation ] on the Hill if they want that kind of flexibility . ''|consultation|sg|NN|[u'conference.n.03']||NP|[]|['JJ']|False|[]|['on']|['prior']|['price', 'of']|NN|False|True|False|3|False|PP|on|to|False|0.48|THE|ZERO
168|ZERO|"data/parsed/22/wsj_2201.mrg|9|23"|It considered running them during tomorrow [ night 's ] World Series broadcast but decided not to when the market recovered yesterday .|night|sg|NN|[u'time_period.n.01']||NPB|['POS']|[]|True|"[""'s""]"|['World', 'Series']|[]|['during', 'tomorrow']|NN|False|False|False|0|False|||running|True|0.3|THE|ZERO
187|ZERO|"data/parsed/22/wsj_2201.mrg|13|34"|Fidelity , for example , prepared ads several months ago in [ case ] of a market plunge .|case|sg|NN|[u'happening.n.01']||NP|[]|[]|False|[]|['of']|[]|['ago', 'in']|NN|False|True|False|5|True|PP|of|prepared|False|0.647058823529|THE|ZERO
195|ZERO|"data/parsed/22/wsj_2201.mrg|14|63"|When the market went into its free fall Friday afternoon , the investment firm ordered full pages in the Monday editions of [ half a dozen newspapers . ]|newspaper|pl|NN|[u'press.n.02']||PP|['.']|['PDT', 'NN']|False|['.']|[]|['half', 'dozen']|[u'edition', 'of']|NN|False|False|False|0|False|||ordered|False|0.95652173913|THE|ZERO
237|ZERO|"data/parsed/22/wsj_2201.mrg|23|33"|It goes on to plug a few diversified Fidelity funds by [ name . ]|name|sg|NN|[u'language_unit.n.01']||PP|['.']|[]|False|['.']|[]|[]|[u'fund', 'by']|NN|False|False|False|0|False|||to|False|0.916666666667|THE|ZERO
450|ZERO|"data/parsed/22/wsj_2202.mrg|5|6"|In [ game two , ] on a cool Sunday evening in this land of perpetual autumn , a lot of the catching up was done by the A 's catcher , Terry Steinbach .|game|sg|NN|[u'activity.n.01']||PP|['CD', ',']|[]|True|['two', ',']|['on']|[]|['In']|NN|False|False|False|0|False|||was|True|0.0322580645161|THE|ZERO
486|ZERO|"data/parsed/22/wsj_2202.mrg|9|67"|On Saturday night , quite a few of the boys in green and gold salted away successes to salve the pain of [ past ] and , no doubt , future droughts .|past|sg|NN|[u'time.n.05']||PP|[]|[]|False|[]|['and', ',']|[]|['pain', 'of']|NN|False|False|False|0|False|||to|False|0.709677419355|THE|ZERO
536|ZERO|"data/parsed/22/wsj_2202.mrg|15|5"|[ `` Every guy ] they put out there had a better split-finger than the guy before , '' marveled Giant manager Roger Craig .|guy|sg|NN|[u'man.n.01']|every|NP|[]|['``']|False|[]|['they', 'put']|['``']|[]|NN|False|True|True|4|False|SBAR|they|had|False|0.0|THE|ZERO
