|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
13|THE|"data/parsed/22/wsj_2200.mrg|2|51"|The bill , whose backers include Chairman Dan Rostenkowski -LRB- D. , Ill. -RRB- , would prevent [ the Resolution Trust Corp. ] from raising temporary working capital by having an RTC-owned bank or thrift issue debt that would n't be counted on the federal budget .|Corp.|sg|NNP|||VP|[]|['NNP', 'NNP']|False|[]|['from', u'raise']|['Resolution', 'Trust']|['would', 'prevent']|NN|True|False|False|0|False|||would||0.404761904762|ZERO|THE
37|THE|"data/parsed/22/wsj_2200.mrg|6|38"|This financing system was created in the new law in order to keep [ the bailout spending ] from swelling the budget deficit .|spending|sg|NN|[u'payment.n.02']||VP|[]|['NN']|False|[]|['from', u'swell']|['bailout']|['to', 'keep']|NN|False|False|False|0|False|||to|False|0.65|ZERO|THE
44|THE|"data/parsed/22/wsj_2200.mrg|8|33"|But the RTC also requires `` working '' capital to maintain [ the bad assets ] of thrifts that are sold , until the assets can be sold separately .|asset|pl|NN|[u'possession.n.02']||NP|[]|['JJ']|False|[]|['of', u'thrift']|['bad']|['to', 'maintain']|NN|False|True|False|6|True|PP|of|to|False|0.423076923077|ZERO|THE
46|THE|"data/parsed/22/wsj_2200.mrg|8|64"|But the RTC also requires `` working '' capital to maintain the bad assets of thrifts that are sold , until [ the assets ] can be sold separately .|asset|pl|NN|[u'possession.n.02']||S|[]|[]|False|[]|['can', 'be']|[]|[',', 'until']|NN|False|False|False|0|False|||can|True|0.777777777778|ZERO|THE
48|THE|"data/parsed/22/wsj_2200.mrg|9|24"|That debt would be paid off as [ the assets ] are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .|asset|pl|NN|[u'possession.n.02']||S|[]|[]|True|[]|[u'be', u'sell']|[]|['off', 'as']|NN|False|False|False|0|False|||are|True|0.212121212121|ZERO|THE
49|THE|"data/parsed/22/wsj_2200.mrg|9|42"|That debt would be paid off as the assets are sold , leaving [ the total spending ] for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .|spending|sg|NN|[u'payment.n.02']||NP|[]|['JJ']|True|[]|['for']|['total']|[',', u'leave']|NN|False|True|False|3|False|PP|for|leaving|True|0.40625|ZERO|THE
59|THE|"data/parsed/22/wsj_2200.mrg|10|63"|`` It 's a problem that clearly has to be resolved , '' said David Cooke , executive director of [ the RTC . ]|RTC|sg|NNP|||PP|['.']|[]|True|['.']|[]|[]|['director', 'of']|NN|True|False|False|0|False|||||0.952380952381|ZERO|THE
72|THE|"data/parsed/22/wsj_2200.mrg|12|78"|Absent other working capital , he said S , the RTC would be forced to delay other thrift resolutions until cash could be raised by selling [ the bad assets . ]|asset|pl|NN|[u'possession.n.02']||VP|['.']|['JJ']|True|['.']|[]|['bad']|['by', u'sell']|NN|False|False|False|0|False|||selling|True|0.962962962963|ZERO|THE
78|THE|"data/parsed/22/wsj_2200.mrg|14|4"|[ The complicated language ] in the huge new law has muddied the fight .|language|sg|NN|[u'communication.n.02']||NP|[]|['JJ']|False|[]|['in']|['complicated']|[]|NN|False|True|False|5|False|PP|in|has|False|0.0|ZERO|THE
88|THE|"data/parsed/22/wsj_2200.mrg|16|18"|Moreover , it says [ the RTC 's ] total obligations may not exceed $ 50 billion , but that figure is derived after including notes and other debt , and subtracting from it the market value of the assets the RTC holds .|RTC|sg|NNP|||NPB|['POS']|[]|True|"[""'s""]"|['total', u'obligation']|[]|['it', u'say']|NN|True|False|False|0|False|||may||0.1|ZERO|THE
100|THE|"data/parsed/22/wsj_2200.mrg|17|47"|But Congress did n't anticipate or intend more public debt , say S opponents of [ the RTC 's ] working-capital plan , and Rep. Charles Schumer -LRB- D. , N.Y . -RRB- said the RTC Oversight Board has been remiss in not keeping Congress informed .|RTC|sg|NNP|||NPB|['POS']|[]|True|"[""'s""]"|['working-capital', 'plan']|[]|[u'opponent', 'of']|NN|True|False|False|0|False|||did||0.348837209302|ZERO|THE
108|THE|"data/parsed/22/wsj_2200.mrg|18|26"|`` That secrecy leads to a proposal like [ the one ] from Ways and Means , which seems to me sort of draconian , '' he said .|one||CD|[u'digit.n.01']||NP|[]|[]|False|[]|['from', 'Ways']|[]|['proposal', 'like']|CD|False|True|False|14|False|PP|from|leads||0.307692307692|ZERO|THE
115|THE|"data/parsed/22/wsj_2200.mrg|19|48"|`` The RTC is going to have to pay a price of prior consultation on [ the Hill ] if they want that kind of flexibility . ''|Hill|sg|NNP|[u'natural_elevation.n.01']||PP|[]|[]|False|[]|['if', 'they']|[]|['consultation', 'on']|NN|True|False|False|0|False|||to||0.6|ZERO|THE
