accuracy,accuracy-train,model,call,features,train data,test data,time
0.8833862434,0.9042487685,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 21:30:00
0.8827513228,0.9393472906,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 21:31:59
0.8871957672,0.907646871,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 21:38:10
0.8887477954,0.9219462689,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 21:40:05
0.8938271605,0.9217676215,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 21:46:08
0.8941093474,0.9557790549,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 21:49:36
0.895026455,0.9218816518,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:00:16
0.8941093474,0.9558512741,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:03:33
0.8949559083,0.9218360397,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh awah awan awbh awbn bpahal bpbhal br bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:13:59
0.8948148148,0.9559272943,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh awah awan awbh awbn bpahal bpbhal br bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:17:03
0.8948853616,0.9218854528,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh awah awan awbh awbn bpahal bpbhal brwp bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:23:55
0.8942504409,0.955801861,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh awah awan awbh awbn bpahal bpbhal brwp bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:27:09
0.8960846561,0.9235350909,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:34:41
0.8948148148,0.9572158365,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:38:29
0.8976366843,0.9238733808,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah ap apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:51:24
0.8974250441,0.9571626224,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad apah ap apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 22:54:55
0.8970017637,0.9238049626,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah ap apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb crwc,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 23:01:49
0.89664903,0.9571930305,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad apah ap apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb crwc,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 23:05:21
0.8972839506,0.9239037888,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah ap apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb crwcwp,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-10-14 23:13:41
