accuracy,accuracy-train,model,call,features,train data,test data,time
0.8835273369,0.9042487685,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 23:48:39
0.8827513228,0.9393472906,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 23:50:26
0.8872663139,0.907646871,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 20:03:16
0.8888183422,0.921969075,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 20:05:48
0.8938977072,0.9217258104,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 20:57:52
0.8941093474,0.9557790549,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 20:51:47
0.895026455,0.9218740497,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad apah apbh ar awah awan awbh awbn bp bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 21:08:05
0.8941093474,0.9558512741,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad apah apbh ar awah awan awbh awbn bp bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 21:11:37
0.895026455,0.9218284376,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad apah apbh awah awan awbh awbn bp bpahal bpbhal br bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 21:24:34
0.8948148148,0.9559272943,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad apah apbh awah awan awbh awbn bp bpahal bpbhal br bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 21:16:35
0.8949559083,0.9218512437,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad apah apbh awah awan awbh awbn bp bpahal bpbhal brwp bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 21:32:06
0.8942504409,0.955801861,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad apah apbh awah awan awbh awbn bp bpahal bpbhal brwp bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 21:37:27
0.8960846561,0.9234932798,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 21:53:44
0.8948148148,0.9572044335,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 21:42:06
0.8974955908,0.9238923858,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-24 22:05:36
