accuracy,accuracy-train,model,call,features,train data,test data,time
0.8806349206,0.9002425044,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 15:51:02
0.8806349206,0.9148687892,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 16:12:07
0.8807054674,0.9002577084,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 16:05:15
0.8806349206,0.9148687892,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 16:07:28
0.8807054674,0.9002539074,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 16:28:42
0.8806349206,0.9148687892,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar bwahal bwanal bwbhal bwbnal,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 16:21:55
0.8821164021,0.9003033206,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad apah apbh ar awah awan awbh awbn bp,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 17:34:56
0.8806349206,0.9148763912,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad apah apbh ar awah awan awbh awbn bp,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 17:24:09
0.8821869489,0.9001930913,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bp br,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 17:45:34
0.8795767196,0.9150588396,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bp br,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 17:50:17
0.8833862434,0.9026371404,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpof bpt br,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 18:00:24
0.8814814815,0.9175675059,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpof bpt br,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 18:02:57
0.8852910053,0.9030932616,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpof bpt br ccb,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 18:13:57
0.882962963,0.9178753877,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpof bpt br ccb,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 18:17:34
0.8868430335,0.9044920331,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpof bpt br ccb dhfe,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 18:54:52
0.8855731922,0.9191487259,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad apah apbh awah awan awbh awbn bhp bhps bof bp bpof bpt br ccb dhfe,data/features/penn/train.pkl,data/features/penn/test.pkl,2016-07-23 19:10:18
