,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9480891323,[ 0.94555072  0.94835096  0.94928438  0.94987547  0.94738481]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.958110295,[ 0.95892968  0.95706285  0.96141879  0.95797011  0.95516812]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.9556205652,[ 0.95706285  0.9542626   0.95706285  0.95703611  0.95267746]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.9612224574,[ 0.96141879  0.95955196  0.9639079   0.96201743  0.95921544]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.9575501058,[ 0.95830741  0.95706285  0.95799627  0.95859278  0.95579078]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.9615336736,[ 0.96172993  0.96079652  0.96204107  0.96139477  0.9617061 ]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.9589817005,[ 0.96079652  0.95861854  0.95892968  0.96046077  0.95610212]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.9623428358,[ 0.96204107  0.96110765  0.96266335  0.9626401   0.96326276]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.9609734844,[ 0.96141879  0.95924082  0.96235221  0.96388543  0.95797011]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.962405079,[ 0.96235221  0.95955196  0.96297449  0.96295143  0.96419676]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.9615959168,[ 0.96172993  0.96017424  0.96297449  0.96450809  0.95859278]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.962903025,[ 0.96297449  0.96048538  0.9639079   0.9635741   0.9635741 ]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.9614091871,[ 0.96141879  0.95955196  0.96235221  0.96450809  0.95921544]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.962654052,[ 0.96266335  0.9598631   0.96421904  0.96388543  0.9626401 ]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.9619071331,[ 0.96141879  0.9598631   0.96235221  0.96513076  0.9607721 ]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.962903025,[ 0.96297449  0.96017424  0.9639079   0.96450809  0.96295143]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.9622805926,[ 0.96235221  0.95924082  0.96297449  0.96575342  0.96108344]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.962903025,[ 0.96297449  0.96017424  0.9639079   0.96481943  0.9626401 ]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.962405079,[ 0.96172993  0.96017424  0.96297449  0.96637609  0.9607721 ]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9627785385,[ 0.96297449  0.96017424  0.96328563  0.96450809  0.96295143]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9627785385,[ 0.96297449  0.96017424  0.96266335  0.96481943  0.96326276]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.9625295655,[ 0.96297449  0.9598631   0.96204107  0.96513076  0.9626401 ]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.962405079,[ 0.96266335  0.9598631   0.96172993  0.96450809  0.96326276]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.9622805926,[ 0.96235221  0.95955196  0.96204107  0.96419676  0.96326276]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.9619693763,[ 0.96235221  0.9598631   0.96141879  0.96419676  0.96201743]
