,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8519797033,[ 0.84842979  0.85433428  0.85725409  0.84809552  0.85178456]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8652685674,[ 0.8609525   0.86899818  0.87107449  0.86217637  0.86314082]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.859921876,[ 0.85660524  0.86400208  0.86367765  0.85627149  0.85905256]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.868512919,[ 0.86517     0.87256683  0.8718531   0.86561547  0.86735886]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.8639578494,[ 0.86088762  0.86796003  0.86718142  0.86068393  0.86307592]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.8695381341,[ 0.86542954  0.87263172  0.87282637  0.86827591  0.86852693]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.8664624888,[ 0.86387231  0.86867376  0.8697768   0.86444747  0.86554186]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.8697068404,[ 0.86549442  0.87256683  0.87263172  0.86905457  0.8687865 ]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8677602294,[ 0.86542954  0.87049053  0.87113937  0.86496658  0.86677482]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8695900437,[ 0.86594861  0.87243706  0.87250195  0.86821102  0.8688514 ]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.8686946027,[ 0.86517     0.87217752  0.87165845  0.86710791  0.86735886]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.8692526312,[ 0.86536465  0.87230729  0.87282637  0.86736746  0.86839714]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.8691488119,[ 0.86562419  0.87172333  0.87211264  0.86788657  0.86839714]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.8686037609,[ 0.86445627  0.87159356  0.87204775  0.86684836  0.86807268]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.8694732471,[ 0.86627303  0.87250195  0.87159356  0.86821102  0.8687865 ]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.8684739868,[ 0.863483    0.87191799  0.87211264  0.8671728   0.86768332]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.869628976,[ 0.86627303  0.87230729  0.87295614  0.86905457  0.86755354]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.8679678679,[ 0.86244485  0.87120426  0.87191799  0.86691324  0.86735886]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8694602697,[ 0.86562419  0.87282637  0.87263172  0.86918435  0.86703439]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.867682365,[ 0.86173112  0.87087983  0.87178822  0.86632925  0.86768332]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.8671632687,[ 0.86186089  0.86990657  0.87055541  0.8660048   0.86748864]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.8665533307,[ 0.86127693  0.86867376  0.8701661   0.86555058  0.86709929]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.8661769859,[ 0.86062808  0.86821957  0.86984168  0.86593991  0.86625568]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.8658655281,[ 0.86043343  0.86815468  0.86990657  0.86574525  0.86508761]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.8653983415,[ 0.86049831  0.86750584  0.8689333   0.86464214  0.86541207]
