,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8994021258,[ 0.89603632  0.90345438  0.89791851  0.90279008  0.89681134]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9094109832,[ 0.90389725  0.91441541  0.90821523  0.91352967  0.90699734]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.9060894597,[ 0.90157219  0.90965456  0.90699734  0.90744021  0.90478299]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.9128210806,[ 0.90721878  0.91806909  0.9124225   0.91718335  0.90921169]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.9093002657,[ 0.90422941  0.91319752  0.91109389  0.91175819  0.90622232]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.9143932684,[ 0.90821523  0.91961913  0.91419398  0.91840124  0.91153676]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.9118246236,[ 0.9073295   0.91618689  0.91352967  0.91364039  0.90843667]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.9145704163,[ 0.90910097  0.920062    0.91452613  0.91806909  0.91109389]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.9131753764,[ 0.90921169  0.91674048  0.91441541  0.91541187  0.91009743]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.9149025686,[ 0.91031887  0.92072631  0.91485828  0.9175155   0.91109389]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.9136846767,[ 0.91076174  0.91729407  0.91408326  0.9168512   0.90943313]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9148804252,[ 0.91031887  0.92116918  0.91463685  0.91718335  0.91109389]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.9144596988,[ 0.91186891  0.91773694  0.91463685  0.91718335  0.91087245]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9149025686,[ 0.9105403   0.92150133  0.91452613  0.91640833  0.91153676]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.9148582817,[ 0.91253322  0.91873339  0.91463685  0.91674048  0.91164748]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9147697077,[ 0.91087245  0.92127989  0.91452613  0.91607617  0.91109389]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.9147918512,[ 0.91153676  0.92028344  0.91408326  0.91662976  0.91142604]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9148361382,[ 0.91098317  0.92116918  0.91441541  0.91618689  0.91142604]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.914238264,[ 0.91098317  0.92039415  0.91352967  0.9156333   0.91065102]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9148582817,[ 0.91098317  0.92127989  0.91430469  0.91651904  0.91120461]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9146589903,[ 0.91109389  0.92094774  0.91364039  0.91651904  0.91109389]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.9145704163,[ 0.9105403   0.92083702  0.91352967  0.91696191  0.91098317]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.9139725421,[ 0.90943313  0.92050487  0.91375111  0.91607617  0.91009743]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.9135075288,[ 0.90954384  0.91984057  0.91341895  0.91541187  0.90932241]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.9131753764,[ 0.90943313  0.920062    0.91253322  0.91507972  0.90876882]
