,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87216,[ 0.8673  0.8778  0.8731  0.8734  0.8692]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87362,[ 0.8687  0.88    0.875   0.8743  0.8701]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87406,[ 0.8691  0.8812  0.8743  0.8741  0.8716]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87366,[ 0.8695  0.8803  0.8741  0.8734  0.871 ]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87316,[ 0.8694  0.8783  0.8737  0.8739  0.8705]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87278,[ 0.8688  0.8791  0.874   0.8736  0.8684]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87218,[ 0.8674  0.8787  0.8722  0.8727  0.8699]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87088,[ 0.8652  0.8777  0.8727  0.8718  0.867 ]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'lbfgs'}",0.871,[ 0.866   0.8786  0.8713  0.8726  0.8665]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87054,[ 0.8666  0.8774  0.8711  0.8726  0.865 ]
