,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9426,[ 0.9423  0.9448  0.943   0.9407  0.9422]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.94418,[ 0.9443  0.9459  0.9453  0.9415  0.9439]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.94454,[ 0.9437  0.9464  0.9465  0.942   0.9441]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.94474,[ 0.9438  0.9466  0.947   0.942   0.9443]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.94482,[ 0.9434  0.9464  0.9467  0.9436  0.944 ]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.94514,[ 0.9437  0.9464  0.947   0.9438  0.9448]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.94514,[ 0.9438  0.9467  0.9472  0.9437  0.9443]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.94496,[ 0.9438  0.9468  0.9468  0.9434  0.944 ]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.94474,[ 0.9438  0.9465  0.947   0.943   0.9434]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9445,[ 0.9438  0.9463  0.9463  0.9429  0.9432]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.94452,[ 0.9435  0.9461  0.9465  0.9427  0.9438]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.94418,[ 0.943   0.9457  0.9461  0.9425  0.9436]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.94436,[ 0.9435  0.9459  0.9461  0.9427  0.9436]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.9441,[ 0.9432  0.9455  0.9455  0.9428  0.9435]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.94388,[ 0.9423  0.9454  0.9456  0.9429  0.9432]
