,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.88788,[ 0.8818  0.8893  0.8892  0.8896  0.8895]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.89124,[ 0.8869  0.8926  0.8918  0.8944  0.8905]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.89158,[ 0.8884  0.8931  0.8923  0.8943  0.8898]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.89212,[ 0.89    0.8932  0.8928  0.8946  0.89  ]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.89232,[ 0.89    0.894   0.8932  0.8951  0.8893]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.89244,[ 0.8901  0.8941  0.8928  0.8956  0.8896]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.89208,[ 0.8894  0.8932  0.8931  0.8953  0.8894]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.89176,[ 0.8892  0.8934  0.8916  0.8948  0.8898]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.89138,[ 0.8889  0.8934  0.8914  0.8941  0.8891]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.89146,[ 0.8886  0.894   0.8913  0.8938  0.8896]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.89142,[ 0.8884  0.894   0.8913  0.894   0.8894]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.89114,[ 0.888   0.8939  0.8909  0.8937  0.8892]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.89046,[ 0.8872  0.8933  0.8904  0.8936  0.8878]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.88992,[ 0.8861  0.8921  0.8906  0.8936  0.8872]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.88958,[ 0.8854  0.8924  0.8896  0.8934  0.8871]
