,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8938,[ 0.88277931  0.89452637  0.89625     0.89822456  0.89722431]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.89655,[ 0.88577856  0.89852537  0.896       0.90172543  0.90072518]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.89895,[ 0.88802799  0.90027493  0.89825     0.90597649  0.90222556]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.8994,[ 0.89027743  0.90002499  0.89975     0.90572643  0.90122531]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.90065,[ 0.89327668  0.90227443  0.9         0.90572643  0.90197549]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.90115,[ 0.89277681  0.90252437  0.902       0.90572643  0.90272568]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9012,[ 0.89202699  0.90227443  0.90275     0.90622656  0.90272568]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.90095,[ 0.89152712  0.90202449  0.90325     0.90572643  0.90222556]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.90145,[ 0.89277681  0.90177456  0.90375     0.90722681  0.90172543]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.90195,[ 0.89302674  0.90252437  0.9045      0.90797699  0.90172543]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9017,[ 0.89252687  0.90302424  0.90425     0.90822706  0.90047512]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.90145,[ 0.89152712  0.90277431  0.9035      0.90897724  0.90047512]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.90165,[ 0.89177706  0.90252437  0.9035      0.90972743  0.90072518]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.90115,[ 0.89127718  0.90227443  0.90225     0.90947737  0.90047512]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.90025,[ 0.89177706  0.89977506  0.903       0.90822706  0.89847462]
