,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.87556,[ 0.87781222  0.87845     0.87525     0.87414371  0.87214361]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8804,[ 0.8829617   0.8824      0.8799      0.87954398  0.87719386]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.88205,[ 0.88461154  0.8841      0.88125     0.88099405  0.87929396]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.88263,[ 0.8859614   0.8851      0.8811      0.88119406  0.87979399]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.88298,[ 0.8860114   0.885       0.8813      0.8819941   0.88059403]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.88312,[ 0.88621138  0.8848      0.8809      0.88234412  0.88134407]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.88298,[ 0.8869613   0.88425     0.8802      0.88149407  0.8819941 ]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.88268,[ 0.88611139  0.88435     0.8799      0.88164408  0.88139407]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.8828,[ 0.88661134  0.88415     0.87965     0.88219411  0.88139407]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.88259,[ 0.88656134  0.88365     0.87955     0.88219411  0.88099405]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.88237,[ 0.88631137  0.8832      0.8791      0.88219411  0.88104405]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.88238,[ 0.88581142  0.8829      0.8797      0.88224411  0.88124406]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.88227,[ 0.88561144  0.88305     0.8794      0.8819941   0.88129406]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.88192,[ 0.88536146  0.88195     0.87885     0.88219411  0.88124406]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.88115,[ 0.88516148  0.8811      0.87785     0.88069403  0.88094405]
