    learning_rate =0.1,
    n_estimators=1000,
    max_depth=5,
    min_child_weight=1,
    gamma=0,
    subsample=0.8,
    colsample_bytree=0.8,
    objective='multi:softmax',
    nthread=24,
    scale_pos_weight=1,
    seed=27
[0]	train-merror:0.214533+0.00133061	test-merror:0.214851+0.00238939
[1]	train-merror:0.206257+0.00471109	test-merror:0.206519+0.00475639
[2]	train-merror:0.203054+0.00208199	test-merror:0.203231+0.00269484
[3]	train-merror:0.201406+0.00315948	test-merror:0.201376+0.0035366
[4]	train-merror:0.199161+0.00140812	test-merror:0.199369+0.00164222
[5]	train-merror:0.198368+0.00179473	test-merror:0.199145+0.00206891
[6]	train-merror:0.196544+0.00113792	test-merror:0.197431+0.00233511
[7]	train-merror:0.19472+0.000608955	test-merror:0.195317+0.00186551
[8]	train-merror:0.19364+0.000839108	test-merror:0.194268+0.00150564
[9]	train-merror:0.192717+0.00059846	test-merror:0.193428+0.00178193
[10]	train-merror:0.191627+0.000490438	test-merror:0.192371+0.00165828
[11]	train-merror:0.19066+0.000854431	test-merror:0.191497+0.0017805
[12]	train-merror:0.189381+0.000868926	test-merror:0.190281+0.001579
[13]	train-merror:0.187836+0.000598005	test-merror:0.188741+0.00157585
[14]	train-merror:0.18654+0.000694388	test-merror:0.187362+0.00183098
[15]	train-merror:0.185606+0.000716176	test-merror:0.186457+0.00152339
[16]	train-merror:0.18433+0.000629622	test-merror:0.185184+0.00114419
[17]	train-merror:0.183173+0.000444651	test-merror:0.184085+0.000984706
[18]	train-merror:0.182311+0.000650128	test-merror:0.183097+0.00112429
[19]	train-merror:0.1815+0.000327872	test-merror:0.182185+0.000815536
[20]	train-merror:0.180664+0.000538402	test-merror:0.181595+0.000919775
[21]	train-merror:0.179824+0.000597922	test-merror:0.180835+0.00117708
[22]	train-merror:0.179005+0.000984261	test-merror:0.180189+0.00146166
[23]	train-merror:0.177729+0.000869009	test-merror:0.178726+0.00127544
[24]	train-merror:0.176752+0.00114182	test-merror:0.177802+0.00133778
[25]	train-merror:0.175606+0.00115365	test-merror:0.176661+0.0014424
[26]	train-merror:0.174523+0.00119237	test-merror:0.175654+0.00106817
[27]	train-merror:0.173011+0.00100941	test-merror:0.174195+0.00112868
[28]	train-merror:0.171859+0.00080484	test-merror:0.173085+0.000755178
[29]	train-merror:0.171168+0.00105893	test-merror:0.172518+0.000968056
[30]	train-merror:0.170497+0.00107287	test-merror:0.171781+0.00111275
[31]	train-merror:0.169629+0.000708444	test-merror:0.170804+0.000547207
[32]	train-merror:0.168636+0.000977155	test-merror:0.169892+0.000662814
[33]	train-merror:0.167951+0.000815436	test-merror:0.169333+0.000700727
[34]	train-merror:0.167168+0.000787516	test-merror:0.168554+0.00068678
[35]	train-merror:0.166224+0.000636589	test-merror:0.167786+0.000706086
[36]	train-merror:0.165399+0.000881855	test-merror:0.167064+0.000717465
[37]	train-merror:0.164708+0.000532367	test-merror:0.166414+0.000682034
[38]	train-merror:0.164014+0.000664813	test-merror:0.165734+0.000663163
[39]	train-merror:0.163326+0.000745797	test-merror:0.16511+0.000769743
[40]	train-merror:0.162764+0.000849333	test-merror:0.164498+0.000935658
[41]	train-merror:0.162128+0.000864005	test-merror:0.163901+0.000958443
[42]	train-merror:0.161512+0.000876591	test-merror:0.163274+0.000856552
[43]	train-merror:0.160884+0.000743609	test-merror:0.162655+0.000777525
[44]	train-merror:0.160113+0.000690031	test-merror:0.161727+0.00074929
[45]	train-merror:0.159355+0.000809124	test-merror:0.161112+0.000895738
[46]	train-merror:0.158541+0.0008432	test-merror:0.160446+0.00121199
[47]	train-merror:0.157924+0.000814396	test-merror:0.159789+0.00108985
[48]	train-merror:0.15718+0.00079441	test-merror:0.159089+0.000957977
[49]	train-merror:0.156489+0.000954358	test-merror:0.158527+0.0010125
[50]	train-merror:0.15601+0.000939617	test-merror:0.157835+0.000821845
