,parameters,mean_validation_score,cv_validation_scores
0,"{'max_depth': 3, 'min_child_weight': 1}",0.8281,[ 0.82308846  0.82258871  0.833       0.8385      0.82332332]
1,"{'max_depth': 3, 'min_child_weight': 3}",0.8277,[ 0.82258871  0.82408796  0.831       0.837       0.82382382]
2,"{'max_depth': 3, 'min_child_weight': 5}",0.831,[ 0.82808596  0.82508746  0.8375      0.84        0.82432432]
3,"{'max_depth': 5, 'min_child_weight': 1}",0.8421,[ 0.84057971  0.83758121  0.841       0.8555      0.83583584]
4,"{'max_depth': 5, 'min_child_weight': 3}",0.8417,[ 0.84107946  0.83858071  0.8415      0.8525      0.83483483]
5,"{'max_depth': 5, 'min_child_weight': 5}",0.8418,[ 0.83858071  0.84057971  0.845       0.849       0.83583584]
6,"{'max_depth': 7, 'min_child_weight': 1}",0.8458,[ 0.84757621  0.83958021  0.845       0.858       0.83883884]
7,"{'max_depth': 7, 'min_child_weight': 3}",0.8463,[ 0.84407796  0.84407796  0.849       0.8595      0.83483483]
8,"{'max_depth': 7, 'min_child_weight': 5}",0.845,[ 0.84407796  0.84007996  0.8445      0.857       0.83933934]
9,"{'max_depth': 9, 'min_child_weight': 1}",0.8466,[ 0.84757621  0.84357821  0.843       0.857       0.84184184]
10,"{'max_depth': 9, 'min_child_weight': 3}",0.8454,[ 0.84757621  0.84357821  0.847       0.8565      0.83233233]
11,"{'max_depth': 9, 'min_child_weight': 5}",0.8446,[ 0.84707646  0.83958021  0.8445      0.8545      0.83733734]
12,"{'max_depth': 11, 'min_child_weight': 1}",0.8442,[ 0.84657671  0.84207896  0.839       0.856       0.83733734]
