,parameters,mean_validation_score,cv_validation_scores
0,"{'max_depth': 3, 'min_child_weight': 1}",,
1,"{'max_depth': 3, 'min_child_weight': 3}",,
2,"{'max_depth': 3, 'min_child_weight': 5}",,
3,"{'max_depth': 5, 'min_child_weight': 1}",,
4,"{'max_depth': 5, 'min_child_weight': 3}",,0.89655
5,"{'max_depth': 5, 'min_child_weight': 5}",,
6,"{'max_depth': 7, 'min_child_weight': 1}",,
7,"{'max_depth': 7, 'min_child_weight': 3}",,
8,"{'max_depth': 7, 'min_child_weight': 5}",,
9,"{'max_depth': 9, 'min_child_weight': 1}",,
10,"{'max_depth': 9, 'min_child_weight': 3}",,
11,"{'max_depth': 9, 'min_child_weight': 5}",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,"[CV] ........ max_depth=5, min_child_weight=3, score=0.896550 -37.3min",,
,,,
,"[CV] ........ max_depth=5, min_child_weight=3, score=0.895045 -37.4min",,
,,,
,"[CV] ........ max_depth=5, min_child_weight=3, score=0.895260 -37.5min",,
,,,
,,,
,"[CV] ........ max_depth=5, min_child_weight=3, score=0.890545 -37.5min",,
,,,
,"[CV] ........ max_depth=5, min_child_weight=3, score=0.891100 -37.6min",,
,,,
,"[CV] ........ max_depth=5, min_child_weight=5, score=0.890350 -37.0min",,
,,,
,"[CV] ........ max_depth=5, min_child_weight=5, score=0.895950 -37.2min",,
,,,
,"[CV] ........ max_depth=5, min_child_weight=5, score=0.895410 -37.4min",,
,[Parallel(n_jobs=5)]: Done   8 tasks      | elapsed: 75.1min,,
,"[CV] max_depth=7, min_child_weight=1 .................................",,
,"[CV] ........ max_depth=5, min_child_weight=5, score=0.896145 -37.4min",,
,"[CV] ........ max_depth=5, min_child_weight=5, score=0.890545 -37.4min",,
,"[CV] max_depth=7, min_child_weight=1 .................................",,
,"[CV] max_depth=7, min_child_weight=1 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=1, score=0.900100 -51.9min",,
,"[CV] max_depth=7, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=1, score=0.897150 -52.1min",,
,"[CV] max_depth=7, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=1, score=0.899760 -52.4min",,
,"[CV] max_depth=7, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=1, score=0.901345 -52.0min",,
,"[CV] max_depth=7, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=1, score=0.894845 -52.3min",,
,[Parallel(n_jobs=5)]: Done  15 tasks      | elapsed: 127.7min,,
,"[CV] max_depth=7, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=3, score=0.900810 -52.4min",,
,"[CV] max_depth=7, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=3, score=0.897850 -52.3min",,
,"[CV] max_depth=7, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=3, score=0.897550 -52.4min",,
,"[CV] max_depth=7, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=3, score=0.901095 -52.2min",,
,"[CV] max_depth=7, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=3, score=0.893945 -52.2min",,
,"[CV] max_depth=7, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=5, score=0.898450 -52.0min",,
,"[CV] max_depth=9, min_child_weight=1 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=5, score=0.899810 -52.4min",,
,[Parallel(n_jobs=5)]: Done  22 tasks      | elapsed: 231.7min,,
,"[CV] max_depth=9, min_child_weight=1 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=5, score=0.895900 -52.2min",,
,"[CV] max_depth=9, min_child_weight=1 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=5, score=0.901495 -52.3min",,
,"[CV] max_depth=9, min_child_weight=1 .................................",,
,"[CV] ........ max_depth=7, min_child_weight=5, score=0.893895 -52.7min",,
,"[CV] max_depth=9, min_child_weight=1 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=1, score=0.901350 -66.3min",,
,"[CV] max_depth=9, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=1, score=0.898500 -66.9min",,
,"[CV] max_depth=9, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=1, score=0.901545 -66.9min",,
,"[CV] max_depth=9, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=1, score=0.901660 -67.4min",,
,"[CV] max_depth=9, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=1, score=0.897195 -67.3min",,
,"[CV] max_depth=9, min_child_weight=3 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=3, score=0.900700 -66.5min",,
,[Parallel(n_jobs=5)]: Done  31 tasks      | elapsed: 365.3min,,
,"[CV] max_depth=9, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=3, score=0.901360 -67.4min",,
,"[CV] max_depth=9, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=3, score=0.897150 -66.9min",,
,"[CV] max_depth=9, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=3, score=0.900695 -66.9min",,
,"[CV] max_depth=9, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=3, score=0.896445 -66.7min",,
,"[CV] max_depth=9, min_child_weight=5 .................................",,
,"[CV] ........ max_depth=9, min_child_weight=5, score=0.899950 -66.7min",,
,"[CV] ........ max_depth=9, min_child_weight=5, score=0.896700 -67.2min",,
,"[CV] ........ max_depth=9, min_child_weight=5, score=0.899210 -67.8min",,
,"[CV] ........ max_depth=9, min_child_weight=5, score=0.900395 -67.3min",,
,"[CV] ........ max_depth=9, min_child_weight=5, score=0.894245 -66.9min",,
