,parameters,mean_validation_score,cv_validation_scores
0,"{'colsample_bytree': 0.7, 'subsample': 0.7}",0.8695,[ 0.86128468  0.86903274  0.8707823   0.87446862  0.87193597]
1,"{'colsample_bytree': 0.7, 'subsample': 0.8}",0.8693,[ 0.86128468  0.87253187  0.87003249  0.87046762  0.87218609]
2,"{'colsample_bytree': 0.7, 'subsample': 0.9}",0.87085,[ 0.86528368  0.87378155  0.86978255  0.87221805  0.87318659]
3,"{'colsample_bytree': 0.7, 'subsample': 1.0}",0.87065,[ 0.86653337  0.87303174  0.87203199  0.87071768  0.87093547]
4,"{'colsample_bytree': 0.8, 'subsample': 0.7}",0.86955,[ 0.86453387  0.87103224  0.8667833   0.87021755  0.87518759]
5,"{'colsample_bytree': 0.8, 'subsample': 0.8}",0.8706,[ 0.8607848   0.87503124  0.86853287  0.87246812  0.87618809]
6,"{'colsample_bytree': 0.8, 'subsample': 0.9}",0.8698,[ 0.86178455  0.87028243  0.8687828   0.87496874  0.87318659]
7,"{'colsample_bytree': 0.8, 'subsample': 1.0}",0.8705,[ 0.86628343  0.87353162  0.86953262  0.86821705  0.87493747]
8,"{'colsample_bytree': 0.9, 'subsample': 0.7}",0.8674,[ 0.8567858   0.87128218  0.86703324  0.87221805  0.86968484]
9,"{'colsample_bytree': 0.9, 'subsample': 0.8}",0.86845,[ 0.86103474  0.87053237  0.8687828   0.86796699  0.87393697]
10,"{'colsample_bytree': 0.9, 'subsample': 0.9}",0.8706,[ 0.8647838   0.87378155  0.86953262  0.87421855  0.87068534]
11,"{'colsample_bytree': 0.9, 'subsample': 1.0}",0.87035,[ 0.86728318  0.86778305  0.87128218  0.87096774  0.87443722]
12,"{'colsample_bytree': 1.0, 'subsample': 0.7}",0.86835,[ 0.86103474  0.87028243  0.86903274  0.8692173   0.87218609]
13,"{'colsample_bytree': 1.0, 'subsample': 0.8}",0.87015,[ 0.86228443  0.87503124  0.86703324  0.8712178   0.87518759]
14,"{'colsample_bytree': 1.0, 'subsample': 0.9}",0.87085,[ 0.86328418  0.87053237  0.8707823   0.8712178   0.87843922]
15,"{'colsample_bytree': 1.0, 'subsample': 1.0}",0.869,[ 0.86328418  0.87153212  0.86803299  0.86771693  0.87443722]
