,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
24,data/parsed/22/wsj_2200.mrg|4|42,"`` Such agency ` self-help ' borrowing is unauthorized and expensive , far more expensive than [ direct Treasury borrowing , '' ] said Rep. Fortney Stark -LRB- D. , Calif. -RRB- , the bill 's chief sponsor .",Treasury,sg,NNP,[u'funds.n.01'],,PP,"['VBG', ',', ""''""]",['JJ'],True,"[u'borrow', ',', ""''""]","[u'say', 'Rep.']",['direct'],"['expensive', 'than']",THE,ZERO
67,data/parsed/22/wsj_2200.mrg|12|3,"[ Absent other working capital , ] he said S , the RTC would be forced to delay other thrift resolutions until cash could be raised by selling the bad assets .",capital,sg,NN,[u'assets.n.01'],,S,"[',']","['JJ', 'JJ', 'JJ']",True,"[',']","['he', u'say']","['Absent', 'other', 'working']",[],THE,ZERO
109,data/parsed/22/wsj_2200.mrg|18|35,"`` That secrecy leads to a proposal like the one from [ Ways and Means , ] which seems to me sort of draconian , '' he said .",Means,sg,NNP,[u'implementation.n.02'],,NP,"[',']","['NNPS', 'CC']",False,"[',']","['which', u'seem']","['Ways', 'and']","['one', 'from']",THE,ZERO
144,data/parsed/22/wsj_2201.mrg|4|20,"Just days after the 1987 crash , [ major brokerage firms ] rushed out ads to calm investors .",firm,pl,NN,[u'business.n.01'],,S,[],"['JJ', 'NN']",True,[],"[u'rush', 'out']","['major', 'brokerage']","['crash', ',']",THE,ZERO
168,data/parsed/22/wsj_2201.mrg|9|23,It considered running them during tomorrow [ night 's ] World Series broadcast but decided not to when the market recovered yesterday .,night,sg,NN,[u'time_period.n.01'],,NPB,['POS'],[],True,"[""'s""]","['World', 'Series']",[],"['during', 'tomorrow']",THE,ZERO
187,data/parsed/22/wsj_2201.mrg|13|34,"Fidelity , for example , prepared ads several months ago in [ case ] of a market plunge .",case,sg,NN,[u'happening.n.01'],,NP,[],[],False,[],['of'],[],"['ago', 'in']",THE,ZERO
195,data/parsed/22/wsj_2201.mrg|14|63,"When the market went into its free fall Friday afternoon , the investment firm ordered full pages in the Monday editions of [ half a dozen newspapers . ]",newspaper,pl,NN,[u'press.n.02'],,PP,['.'],"['PDT', 'NN']",False,['.'],[],"['half', 'dozen']","[u'edition', 'of']",THE,ZERO
219,data/parsed/22/wsj_2201.mrg|20|28,We had to think about it ahead of [ time . '' ],time,sg,NN,[u'case.n.01'],,PP,"['.', ""''""]",[],False,"['.', ""''""]",[],[],"['ahead', 'of']",THE,ZERO
237,data/parsed/22/wsj_2201.mrg|23|33,It goes on to plug a few diversified Fidelity funds by [ name . ],name,sg,NN,[u'language_unit.n.01'],,PP,['.'],[],False,['.'],[],[],"[u'fund', 'by']",THE,ZERO
450,data/parsed/22/wsj_2202.mrg|5|6,"In [ game two , ] on a cool Sunday evening in this land of perpetual autumn , a lot of the catching up was done by the A 's catcher , Terry Steinbach .",game,sg,NN,[u'activity.n.01'],,PP,"['CD', ',']",[],True,"['two', ',']",['on'],[],['In'],THE,ZERO
486,data/parsed/22/wsj_2202.mrg|9|67,"On Saturday night , quite a few of the boys in green and gold salted away successes to salve the pain of [ past ] and , no doubt , future droughts .",past,sg,NN,[u'time.n.05'],,PP,[],[],False,[],"['and', ',']",[],"['pain', 'of']",THE,ZERO
584,data/parsed/22/wsj_2202.mrg|21|27,"Partisans of the two combatants sat side by [ side ] in the 49,000-plus seats of Oakland Coliseum , and while they cheered their favorites and booed the opposition , hostilities advanced no further , at least as far as I could see .",side,sg,NN,[u'region.n.01'],,PP,[],[],False,[],['in'],[],"['side', 'by']",THE,ZERO
622,data/parsed/22/wsj_2202.mrg|27|86,"I choose to believe it 's the latter , although it probably springs from the fact that just about everyone out here , including the A 's and [ Giants , ] is originally from somewhere else .",Giants,sg,NNP,[u'animal.n.01'],,NP,"[',']",[],True,"[',']","[u'be', 'originally']",[],"[""'s"", 'and']",THE,ZERO
635,data/parsed/22/wsj_2202.mrg|29|3,"[ Anyway , ] the A 's gave you a lot of heroes to root for .",Anyway,sg,NN,,,S,"[',']",[],False,"[',']",['A'],[],[],THE,ZERO
664,data/parsed/22/wsj_2202.mrg|32|54,"Such is his reputation among the East Bay Bashers that when he hit his first career home run [ last season , ] the fan who caught it agreed to turn the ball over to him in return for an autograph .",season,sg,NN,[u'time_period.n.01'],,VP,"[',']",['JJ'],True,"[',']",['fan'],['last'],"['home', 'run']",THE,ZERO
706,data/parsed/22/wsj_2202.mrg|38|31,"They combined for 25 hits , six home runs and [ 24 runs ] batted in in the five games against the Cubs .",run,pl,NN,[u'score.n.10'],,NP,[],['CD'],True,[],"[u'bat', 'in']",['<number>'],"[u'run', 'and']",THE,ZERO
718,data/parsed/22/wsj_2202.mrg|40|56,"It 's that last set of numbers , as much as anything else , that gives the Giants [ hope ] in the Series games to come .",hope,sg,NN,[u'anticipation.n.01'],,NP,[],[],False,[],['in'],[],['Giants'],THE,ZERO
723,data/parsed/22/wsj_2202.mrg|41|34,"`` I believe in the law of averages , '' declared [ San Francisco batting coach ] Dusty Baker after game two .",coach,sg,NN,[u'trainer.n.01'],,VP,[],"['NNP', 'NNP', 'NN']",False,[],"['Dusty', 'Baker']","['San', 'Francisco', 'batting']","[""''"", u'declare']",THE,ZERO
725,data/parsed/22/wsj_2202.mrg|41|51,"`` I believe in the law of averages , '' declared San Francisco batting coach Dusty Baker after [ game two . ]",game,sg,NN,[u'activity.n.01'],,PP,"['CD', '.']",[],True,"['two', '.']",[],[],"['Baker', 'after']",THE,ZERO
799,data/parsed/22/wsj_2203.mrg|10|96,"In addition to a general slowing of the computer industry , NCR , which sells automated teller machines and computerized cash registers , is also affected by the retail and financial sectors , `` [ areas ] of the economy that have generally not been robust , '' notes S Sanjiv G. Hingorani , an analyst for Salomon Brothers Inc .",area,pl,NN,[u'region.n.03'],,NP,[],[],False,[],['of'],[],"[',', '``']",THE,ZERO
859,data/parsed/22/wsj_2204.mrg|1|38,"Concerning your Sept. 19 article `` Wall Street Firms Link Analysts ' Pay to [ Performance , '' ] I 'm delighted that Wall Street is finally tuning in to the hard , cold facts of the real working world .",Performance,sg,NN,[u'show.n.03'],,PP,"[',', ""''""]",[],False,"[',', ""''""]","['I', ""'m""]",[],"['Pay', 'to']",THE,ZERO
867,data/parsed/22/wsj_2204.mrg|2|57,"If the firms are serious , however , why limit the practice to the poor , maligned analysts whose [ ability ] to see into the future is fragile at best ?",ability,sg,NN,[u'quality.n.01'],,NP,[],[],False,[],"['to', 'see']",[],"[u'analyst', 'whose']",THE,ZERO
970,data/parsed/22/wsj_2205.mrg|16|4,"[ Red figures ] on the screens indicated falling stocks ; blue figures , rising stocks .",figure,pl,NN,[u'illustration.n.01'],,NP,[],['JJ'],False,[],['on'],['Red'],[],THE,ZERO
982,data/parsed/22/wsj_2205.mrg|18|13,"`` I see [ concern , ] but I do n't see any panic , '' said Mr. Palamara , a big , good-humored New York native who runs the 15-trader office .",concern,sg,NN,[u'interest.n.01'],,VP,"[',']",[],False,"[',']","['but', 'I']",[],"['I', 'see']",THE,ZERO
992,data/parsed/22/wsj_2205.mrg|19|55,"The Jefferies office , a branch of the Los Angeles-based firm , played it conservatively , seeking to avoid [ risk . ]",risk,sg,NN,[u'danger.n.03'],,VP,['.'],[],False,['.'],[],[],"['to', 'avoid']",THE,ZERO
995,data/parsed/22/wsj_2205.mrg|20|23,"`` This is not the sort of [ market ] to have a big position in , '' said David Smith , who heads trading in all non-U.S. stocks .",market,sg,NN,[u'activity.n.01'],,PP,[],[],True,[],"['to', 'have']",[],"['sort', 'of']",THE,ZERO
1025,data/parsed/22/wsj_2205.mrg|26|14,"On the screens , [ only two forlorn blue figures ] remained , but the index had recovered a few points and was off about 140 .",figure,pl,NN,[u'illustration.n.01'],,S,[],"['RB', 'CD', 'JJ', 'JJ']",False,[],"[u'remain', ',']","['only', 'two', 'forlorn', 'blue']","[u'screen', ',']",THE,ZERO
