,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
37,data/parsed/22/wsj_2200.mrg|6|38,This financing system was created in the new law in order to keep [ the bailout spending ] from swelling the budget deficit .,spending,sg,NN,[u'payment.n.02'],,VP,[],['NN'],False,[],"['from', u'swell']",['bailout'],"['to', 'keep']",ZERO,THE
44,data/parsed/22/wsj_2200.mrg|8|33,"But the RTC also requires `` working '' capital to maintain [ the bad assets ] of thrifts that are sold , until the assets can be sold separately .",asset,pl,NN,[u'possession.n.02'],,NP,[],['JJ'],False,[],"['of', u'thrift']",['bad'],"['to', 'maintain']",ZERO,THE
46,data/parsed/22/wsj_2200.mrg|8|64,"But the RTC also requires `` working '' capital to maintain the bad assets of thrifts that are sold , until [ the assets ] can be sold separately .",asset,pl,NN,[u'possession.n.02'],,S,[],[],False,[],"['can', 'be']",[],"[',', 'until']",ZERO,THE
48,data/parsed/22/wsj_2200.mrg|9|24,"That debt would be paid off as [ the assets ] are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .",asset,pl,NN,[u'possession.n.02'],,S,[],[],True,[],"[u'be', u'sell']",[],"['off', 'as']",ZERO,THE
49,data/parsed/22/wsj_2200.mrg|9|42,"That debt would be paid off as the assets are sold , leaving [ the total spending ] for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .",spending,sg,NN,[u'payment.n.02'],,NP,[],['JJ'],True,[],['for'],['total'],"[',', u'leave']",ZERO,THE
72,data/parsed/22/wsj_2200.mrg|12|78,"Absent other working capital , he said S , the RTC would be forced to delay other thrift resolutions until cash could be raised by selling [ the bad assets . ]",asset,pl,NN,[u'possession.n.02'],,VP,['.'],['JJ'],True,['.'],[],['bad'],"['by', u'sell']",ZERO,THE
94,data/parsed/22/wsj_2200.mrg|16|103,"Moreover , it says the RTC 's total obligations may not exceed $ 50 billion , but that figure is derived after including notes and other debt , and subtracting from it the market value of [ the assets ] the RTC holds .",asset,pl,NN,[u'possession.n.02'],,NP,[],[],True,[],['RTC'],[],"['value', 'of']",ZERO,THE
95,data/parsed/22/wsj_2200.mrg|16|110,"Moreover , it says the RTC 's total obligations may not exceed $ 50 billion , but that figure is derived after including notes and other debt , and subtracting from it the market value of the assets [ the RTC ] holds .",RTC,sg,NNP,,,Ss,[],[],True,[],"[u'hold', '.']",[],[u'asset'],ZERO,THE
108,data/parsed/22/wsj_2200.mrg|18|26,"`` That secrecy leads to a proposal like [ the one ] from Ways and Means , which seems to me sort of draconian , '' he said .",one,,CD,[u'digit.n.01'],,NP,[],[],False,[],"['from', 'Ways']",[],"['proposal', 'like']",ZERO,THE
115,data/parsed/22/wsj_2200.mrg|19|48,`` The RTC is going to have to pay a price of prior consultation on [ the Hill ] if they want that kind of flexibility . '',Hill,sg,NNP,[u'natural_elevation.n.01'],,PP,[],[],False,[],"['if', 'they']",[],"['consultation', 'on']",ZERO,THE
129,data/parsed/22/wsj_2201.mrg|2|35,"Hard on the heels of Friday 's 190-point stock-market plunge and [ the uncertainty ] that 's followed , a few big brokerage firms are rolling out new ads trumpeting a familiar message : Keep on investing , the market 's just fine .",uncertainty,sg,NN,[u'quality.n.01'],,NP,[],[],False,[],"['that', ""'s""]",[],"['plunge', 'and']",ZERO,THE
176,data/parsed/22/wsj_2201.mrg|11|19,"The brokerage firms learned a lesson [ the last time ] around , when frightened investors flooded the phone lines and fled the market in a panic .",time,sg,NN,[u'case.n.01'],,ADVP,[],['JJ'],False,[],"['around', ',']",['last'],['lesson'],ZERO,THE
178,data/parsed/22/wsj_2201.mrg|11|44,"The brokerage firms learned a lesson the last time around , when frightened investors flooded [ the phone lines ] and fled the market in a panic .",line,pl,NN,[u'formation.n.01'],,VP,[],['NN'],False,[],"['and', u'flee']",['phone'],"[u'investor', u'flood']",ZERO,THE
182,data/parsed/22/wsj_2201.mrg|12|10,"This time , [ the firms ] were ready .",firm,pl,NN,[u'business.n.01'],,S,[],[],True,[],"[u'be', 'ready']",[],"['time', ',']",ZERO,THE
196,data/parsed/22/wsj_2201.mrg|15|3,"[ The ads ] touted Fidelity 's automated 800-number beneath the huge headline , `` Fidelity Is Ready For Your Call . ''",ad,pl,NN,[u'promotion.n.01'],,S,[],[],True,[],"[u'tout', 'Fidelity']",[],[],ZERO,THE
205,data/parsed/22/wsj_2201.mrg|16|67,"A Fidelity spokesman says the 800-line , which already was operating but which many clients did n't know about , received [ about double the usual volume ] of calls over the weekend .",volume,sg,NN,[u'measure.n.02'],,NP,[],"['IN', 'RB', 'JJ']",False,[],"['of', u'call']","['about', 'double', 'usual']","[',', u'receive']",ZERO,THE
228,data/parsed/22/wsj_2201.mrg|22|39,"Underneath the headline `` Diversification , '' it counsels , `` Based on [ the events ] of the past week , all investors need to know their portfolios are balanced to help protect them against the market 's volatility . ''",event,pl,NN,[u'psychological_feature.n.01'],,NP,[],[],False,[],['of'],[],"['Based', 'on']",ZERO,THE
255,data/parsed/22/wsj_2201.mrg|27|4,"[ The new PaineWebber commercial , ] created with ad agency Saatchi & Saatchi Co. , features Mary Farrell , one of the firm 's most visible investment strategists , sounding particularly bullish .",PaineWebber,sg,NNP,,,NP,"['JJ', ',']",['JJ'],True,"['commercial', ',']","[u'create', 'with']",['new'],[],ZERO,THE
270,data/parsed/22/wsj_2201.mrg|29|34,We continue to feel that the stock market is still [ the place ] to be for long-term appreciation . '',place,sg,NN,[u'point.n.02'],,NP,[],[],False,[],"['to', 'be']",[],"[u'be', 'still']",ZERO,THE
280,data/parsed/22/wsj_2201.mrg|32|25,"Instead , it settled on just urging [ the clients ] who are its lifeline to keep that money in the market .",client,pl,NN,[u'case.n.06'],,NP,[],[],False,[],"['who', u'be']",[],"['just', u'urge']",ZERO,THE
289,data/parsed/22/wsj_2201.mrg|33|84,"`` We 're saying the worst thing that anyone can do is to see the market go down and dump everything , which just drives [ the prices ] down further , '' says John Lampe , PaineWebber 's director of advertising .",price,pl,NN,[u'value.n.02'],,VP,[],[],False,[],"['down', u'far']",[],"['just', u'drive']",ZERO,THE
302,data/parsed/22/wsj_2201.mrg|36|8,"With [ the market fluctuating ] and then closing up more than 88 points yesterday , investment firms had to constantly revise their approach .",fluctuating,sg,NN,,,NP,[],['NN'],False,[],"['and', 'then']",['market'],['With'],ZERO,THE
345,data/parsed/22/wsj_2201.mrg|43|13,"In any case , [ the brokerage firms ] are clearly moving faster to create new ads than they did in the fall of 1987 .",firm,pl,NN,[u'business.n.01'],,S,[],['NN'],False,[],"[u'be', 'clearly']",['brokerage'],"['case', ',']",ZERO,THE
360,data/parsed/22/wsj_2201.mrg|46|6,Now [ the firms ] must try their hardest to prove that advertising can work this time around .,firm,pl,NN,[u'business.n.01'],,S,[],[],True,[],"['must', 'try']",[],['Now'],ZERO,THE
408,data/parsed/22/wsj_2201.mrg|57|23,"The supplement , the largest ever for [ the magazine , ] includes ads from 52 corporate advertisers and kicks off a two-year Business Week initiative on education .",magazine,sg,NN,"[u'press.n.02', u'publication.n.01']",,PP,"[',']",[],False,"[',']","[u'include', u'ad']",[],"['ever', 'for']",ZERO,THE
415,data/parsed/22/wsj_2201.mrg|58|24,The magazine will distribute 10 % of [ the gross revenues ] from the supplement as grants to innovative teachers .,revenue,pl,NN,[u'sum.n.01'],,NP,[],['JJ'],False,[],['from'],['gross'],"['%', 'of']",ZERO,THE
440,data/parsed/22/wsj_2202.mrg|3|42,"Baseball , that game of the long haul , is the quintessential sport of [ the mean , ] and the mean ol' law caught up with the San Francisco Giants in the World Series last weekend .",mean,sg,NN,[u'average.n.01'],,PP,"[',']",[],False,"[',']",['and'],[],"['sport', 'of']",ZERO,THE
447,data/parsed/22/wsj_2202.mrg|4|15,"Morever , much of [ the damage ] was accomplished by A 's who had some catching up to do .",damage,sg,NN,[u'change.n.01'],,PP,[],[],False,[],"[u'be', u'accomplish']",[],"['much', 'of']",ZERO,THE
457,data/parsed/22/wsj_2202.mrg|5|75,"In game two , on a cool Sunday evening in this land of perpetual autumn , a lot of the catching up was done by [ the A 's ] catcher , Terry Steinbach .",A,sg,NNP,[u'metric_linear_unit.n.01'],,NPB,['POS'],[],True,"[""'s""]","['catcher', ',']",[],"[u'do', 'by']",ZERO,THE
474,data/parsed/22/wsj_2202.mrg|7|64,"So what if Steinbach had struck just seven home runs in 130 regular-season games , and batted in the seventh position of [ the A 's ] lineup .",A,sg,NNP,[u'metric_linear_unit.n.01'],,NPB,['POS'],[],True,"[""'s""]","['lineup', '.']",[],"['position', 'of']",ZERO,THE
482,data/parsed/22/wsj_2202.mrg|9|25,"On Saturday night , quite a few of [ the boys ] in green and gold salted away successes to salve the pain of past and , no doubt , future droughts .",boy,pl,NN,[u'male.n.02'],,NP,[],[],False,[],"['in', 'green']",[],"['few', 'of']",ZERO,THE
